X,Y,Z,LPE_Z
0.342849,-0.368323,1.15825,0
0.300314,-0.36718,1.1669,0
0.335796,-0.374115,1.16268,0
0.358838,-0.35509,1.13887,0
0.37403,-0.36559,1.11563,0
0.399322,-0.371978,1.08117,0
0.441541,-0.347608,1.03161,0
0.464858,-0.343615,1.00646,0
0.464638,-0.336366,0.925039,0
0.446131,-0.34055,0.879534,0
0.519223,-0.332939,0.777932,0
0.584868,-0.301939,0.704169,0
0.618136,-0.291647,0.660031,0
0.646009,-0.305821,0.642342,0
0.651613,-0.267948,0.545459,0
0.646384,-0.215431,0.446036,0
0.604349,-0.159439,0.367821,0
0.561089,-0.0848231,0.302086,0
0.497289,-0.164279,0.286287,0
0.494893,-0.179504,0.259574,0
