time,x,y,z,roll,pitch,yaw
0.400431,0,0,0,0,-0,0,1,3.236817,-0.00241185,0.0089324,-0.00180568,-0.00353544,0.000103534,-0.0560267,2,0,0,0
3.772090,-0.00510612,0.0109598,-0.000390339,-0.00832476,0.00250143,-0.110791,3,0,0,0
4.173283,-0.00724216,0.0134541,0.00159187,-0.0122511,0.00463821,-0.164212,4,0,0,0
4.977923,-0.00369025,0.0423314,0.00339077,-0.0198336,0.00712568,-0.279354,6,0,0,0
5.078698,-0.00716104,0.0306206,0.0194232,-0.0207099,0.0175943,-0.293572,7,0,0,0
5.649753,-0.00178302,0.0491047,0.0218573,-0.0315601,0.0203345,-0.380393,9,0,0,0
6.419373,0.0105143,0.0698403,0.0206939,-0.0426016,0.0184385,-0.4954,11,0,0,0
6.853999,0.0190328,0.0823436,0.025634,-0.0479331,0.0210732,-0.563134,12,0,0,0
7.861268,0.0127027,0.0795509,0.00855144,-0.0504718,0.00741085,-0.674436,14,0,0,0
8.297576,0.0170887,0.084334,0.0166581,-0.0527911,0.0118357,-0.704509,15,0,0,0
10.710513,0.0120433,0.0844315,0.0233437,-0.0595639,0.0129757,-0.789407,17,0,0,0
11.245945,0.0249867,0.0883649,0.0198954,-0.0621736,0.00953248,-0.830016,18,0,0,0
12.317571,0.0236015,0.0813906,0.0278632,-0.0669256,0.0114852,-0.907402,20,0,0,0
13.458793,0.053361,0.106658,0.0371043,-0.0747521,0.0131887,-1.00561,22,0,0,0
14.261941,0.0681023,0.11738,0.0334866,-0.0787544,0.00884027,-1.06222,23,0,0,0
14.965203,0.0798023,0.125088,0.0434811,-0.0858179,0.0116005,-1.12244,24,0,0,0
16.106743,0.0878256,0.126067,0.0425615,-0.0915064,0.00520957,-1.21121,26,0,0,0
16.909161,0.0955227,0.126314,0.0474492,-0.0985116,0.00326702,-1.2842,28,0,0,0
17.747932,0.0847751,0.124406,0.0464737,-0.101967,-0.00200286,-1.33365,29,0,0,0
18.820669,0.0774179,0.117303,0.0379633,-0.103197,-0.0119415,-1.40033,31,0,0,0
19.892168,0.0820678,0.109036,0.043385,-0.108646,-0.0142543,-1.46497,33,0,0,0
21.234558,0.0901819,0.0971109,0.0458465,-0.109905,-0.0198877,-1.56359,36,0,0,0
21.569711,0.0852378,0.0978904,0.0446422,-0.112759,-0.0239237,-1.59244,37,0,0,0
22.139148,0.0709561,0.0939199,0.0492895,-0.114275,-0.0225924,-1.59321,38,0,0,0
25.254934,0.0619661,0.100046,0.0350819,-0.107835,-0.0289939,-1.58974,39,0,0,0
