time,x,y,z,roll,pitch,yaw
10.234136,3.62505,0.0101931,0.992623,-0.162268,0.105898,-0.664438,77
10.368502,3.66847,0.0147143,0.988182,-0.157982,0.100823,-0.762501,78
10.435685,3.68668,0.00646953,0.993239,-0.161024,0.0959512,-0.816624,79
10.502868,3.69538,-0.0132537,0.990397,-0.162583,0.0825691,-0.861233,80
10.838783,3.72539,-0.12626,0.994231,-0.186415,0.0600132,-1.07262,81
10.905966,3.72388,-0.162067,0.983196,-0.192475,0.0563278,-1.09975,82
10.973149,3.72003,-0.194909,0.987019,-0.19314,0.0587411,-1.12674,83
11.040300,3.72522,-0.231148,0.994692,-0.195968,0.062196,-1.15858,84
11.140916,3.71498,-0.245233,0.981194,-0.197978,0.056088,-1.1791,85
11.575954,3.69502,-0.449495,1.00237,-0.211063,0.0118113,-1.32692,86
11.642883,3.6713,-0.457018,1.01129,-0.216803,0.0113365,-1.32769,87
11.709812,3.67401,-0.49445,1.02056,-0.225959,0.016147,-1.33875,88
11.810206,3.65351,-0.535362,0.996538,-0.231373,0.0200699,-1.3477,89
11.877135,3.66252,-0.564447,1.00202,-0.228364,0.0251278,-1.36171,90
11.944064,3.68478,-0.590421,0.988866,-0.234297,0.0247604,-1.3792,91
12.044457,3.70646,-0.633388,0.992063,-0.24894,0.0268416,-1.40322,92
12.111386,3.71352,-0.662719,0.9763,-0.253474,0.0148338,-1.40984,93
12.178315,3.74354,-0.705567,1.01335,-0.253217,0.0160977,-1.43197,94
12.245244,3.7585,-0.740749,1.01486,-0.255481,0.0156548,-1.44655,95
12.345638,3.7763,-0.775779,1.00986,-0.244752,0.00887696,-1.45209,96
12.412567,3.78239,-0.813955,1.02884,-0.234218,0.0183693,-1.44918,97
12.546425,3.78609,-0.877252,0.978075,-0.233248,0.00637592,-1.43603,98
12.613354,3.77584,-0.919204,1.00318,-0.231847,0.0162255,-1.42053,99
12.713779,3.75265,-0.978184,0.989961,-0.231922,0.00915834,-1.39409,100
12.780803,3.75083,-1.00762,0.994647,-0.234086,0.0209294,-1.37965,101
12.847891,3.76754,-1.03447,1.01081,-0.235714,0.0197199,-1.37663,102
12.948602,3.75299,-1.09617,1.00368,-0.244085,0.0171555,-1.35632,103
13.015785,3.75444,-1.12781,1.00106,-0.241991,0.0178621,-1.34583,104
13.150151,3.79154,-1.1916,1.01283,-0.227789,0.0233237,-1.3528,105
13.183743,3.78,-1.21333,0.983783,-0.227016,0.0188984,-1.35216,106
