x,y,z
4.0857,-2.13372,0.995111
4.07998,-2.17315,0.989075
4.08013,-2.19152,1.00804
4.0742,-2.22591,0.992298
4.07236,-2.26374,1.00321
4.07223,-2.30424,0.987877
4.06474,-2.34221,0.987764
4.0589,-2.38048,0.978799
4.05533,-2.42265,0.985323
4.04814,-2.46232,0.983633
4.04439,-2.48245,0.989411
4.02601,-2.51657,0.976564
4.01149,-2.5487,1.00247
3.99548,-2.57657,0.983121
3.98011,-2.59894,0.984188
3.96368,-2.61382,0.992755
3.94493,-2.62411,0.987103
3.92492,-2.63374,0.99739
3.90256,-2.63703,0.987301
3.88165,-2.63497,0.988344
3.86795,-2.63535,0.994895
3.84883,-2.62969,0.989986
3.84146,-2.62759,0.986852
3.8274,-2.61736,0.989507
3.81621,-2.60668,0.988073
3.80398,-2.59691,0.989965
3.79978,-2.59129,0.987738
3.79456,-2.58061,0.990612
3.79255,-2.57538,0.997023
3.78732,-2.56743,0.995886
3.77977,-2.56234,0.989557
3.77727,-2.56073,0.985631
3.76856,-2.55494,1.00663
3.76235,-2.55518,1.00486
3.75534,-2.55455,0.997374
3.74777,-2.55786,0.999211
3.73833,-2.55977,0.99372
3.73412,-2.56317,0.990568
3.72164,-2.56882,0.987752
3.70952,-2.57321,0.985633
3.70573,-2.57803,0.982298
3.68976,-2.58337,0.998501
3.68072,-2.59506,0.9885
3.66441,-2.60224,0.990117
3.65865,-2.60799,0.984726
3.64393,-2.61698,0.978209
3.63721,-2.6224,0.984233
3.61812,-2.63013,0.982432
3.59231,-2.63176,0.985091
3.58036,-2.63515,0.981681
3.55445,-2.63569,0.982493
3.52463,-2.63885,0.982511
3.50844,-2.63669,0.988518
3.47611,-2.63873,0.983932
3.44096,-2.63691,1.00242
3.4245,-2.63898,1.00232
3.3896,-2.64297,0.998861
3.35082,-2.64564,0.998572
3.33254,-2.64972,0.995344
3.29552,-2.65528,0.99826
3.25009,-2.66222,1.00552
3.22776,-2.66809,1.00754
3.17917,-2.67569,1.01117
3.12802,-2.6912,1.00498
3.10317,-2.69424,1.00561
3.05061,-2.70963,0.99871
3.00783,-2.71748,0.987802
2.96473,-2.71969,1.00596
2.94258,-2.72437,1.00547
2.89699,-2.72927,1.0122
2.87446,-2.7342,1.00977
2.82665,-2.74329,1.01766
2.7795,-2.7539,1.00347
2.75778,-2.75616,1.00807
2.71024,-2.76494,0.993901
2.66132,-2.76589,0.995687
2.63781,-2.76848,0.998078
2.59066,-2.77269,0.997641
2.55604,-2.77612,1.00814
2.53485,-2.7792,1.00671
2.49171,-2.78066,1.00882
2.44788,-2.78788,1.0127
2.42181,-2.78806,1.01921
2.37341,-2.79777,1.01817
2.3226,-2.80807,1.00306
2.27305,-2.81595,1.0167
2.22035,-2.82803,1.01274
2.18054,-2.83673,1.00894
2.13448,-2.83794,1.01243
2.09044,-2.84551,1.01717
2.04469,-2.84936,1.01549
2.00076,-2.85742,1.01749
1.95823,-2.86445,1.02021
1.91347,-2.87178,1.02057
1.86517,-2.87582,1.018
1.81572,-2.87881,1.01542
1.74899,-2.87965,1.02023
1.70538,-2.87952,1.01584
1.66626,-2.88092,1.00888
1.60287,-2.88061,1.01722
1.53411,-2.88498,1.02521
1.46601,-2.88904,1.01872
1.39186,-2.89746,1.01399
1.31964,-2.90745,0.986641
1.25598,-2.91156,1.00369
1.20618,-2.91313,1.00141
1.14516,-2.91461,1.00763
1.0778,-2.92865,1.01519
1.01544,-2.93889,1.00833
0.935804,-2.94825,1.0082
0.875008,-2.95674,1.02052
0.819534,-2.96358,1.00176
0.758586,-2.97236,1.01377
0.6722,-2.98948,1.01486
0.591386,-3.01282,1.00545
0.511941,-3.04224,0.996362
0.450433,-3.05519,1.00154
0.391453,-3.06398,1.00202
0.33872,-3.06773,0.996116
0.278341,-3.06337,1.00904
0.219837,-3.04799,1.01495
0.186629,-3.03588,1.00628
0.146984,-3.01908,1.0174
0.102103,-2.98911,1.018
0.0741439,-2.96443,1.01349
0.047799,-2.93978,1.02102
0.0223587,-2.92085,1.01986
0.00148395,-2.89532,1.02687
-0.0240636,-2.8769,1.01523
-0.0477451,-2.85363,1.0174
-0.0677326,-2.83057,1.01511
-0.0829046,-2.8094,1.01627
-0.0988694,-2.79231,1.01076
-0.110247,-2.77977,0.999841
-0.117965,-2.76244,1.00708
-0.126658,-2.75037,1.00616
