time,x,y,z,roll,pitch,yaw
29.708824,-0.0281821,-0.040314,-0.110194,0.0063785,-0.0254149,0.0697957,68
29.742384,-0.0231052,-0.0258332,-0.11535,0.0088354,-0.031559,0.0772454,69
29.876750,-0.0270021,-0.0338682,-0.106587,0.0103125,-0.0237776,0.0982446,70
30.548580,-0.0333317,-0.0384501,-0.108522,0.0114399,-0.0803727,0.0870193,71
30.582171,-0.0439635,-0.0327563,-0.0765181,-0.00108226,-0.094967,0.0792218,72
30.649354,-0.0450655,-0.0400938,-0.0714141,0.00768458,-0.143469,0.0851578,73
30.716537,-0.0369504,-0.056302,-0.0906396,0.0135101,-0.188295,0.0990671,74
30.783688,-0.0403649,-0.0508342,-0.0837074,0.0170819,-0.231111,0.0929281,75
30.850744,-0.0363754,-0.0558729,-0.0785596,0.0199441,-0.269995,0.0963995,76
30.884241,-0.0436403,-0.0408704,-0.0538536,0.02457,-0.282273,0.0782919,77
30.951170,-0.0377096,-0.0419535,-0.0531349,0.026899,-0.309789,0.0773109,78
31.018035,-0.716277,-0.0584934,2.14508,0.00802306,-0.630084,0.151401,79
31.318644,-0.0378676,-0.0165929,-0.0282371,0.00948344,-0.170827,0.0544676,80
31.385446,-0.029893,-0.03558,-0.0645949,0.0101051,-0.151522,0.0746729,81
31.452248,-0.0306342,-0.0386559,-0.077795,0.00844099,-0.112948,0.0802668,82
31.485649,-0.0261008,-0.0411646,-0.103927,0.00736029,-0.0924405,0.0851361,83
31.552451,-0.0276363,-0.0343578,-0.114462,0.00430707,-0.0683237,0.0801751,84
31.619253,-0.0344483,-0.0400034,-0.0923469,0.00218702,-0.0362744,0.0875907,85
31.686055,-0.0366293,-0.0420653,-0.0984959,0.00303019,-0.0207675,0.091792,86
35.944778,-0.037034,-0.0534887,-0.0982939,0.0133364,-0.0163878,0.0730226,87
36.011897,-0.0359842,-0.0493399,-0.100205,0.0126529,-0.018628,0.0557393,88
36.079017,-0.0327975,-0.0601768,-0.100578,0.00838276,-0.0185978,0.0389522,89
36.146073,-0.0283862,-0.0720433,-0.0965112,0.000324984,-0.0149985,0.0301755,90
36.179569,-0.0272258,-0.0801046,-0.0895979,-0.00895204,-0.0074297,0.0308094,91
36.246530,-0.0228298,-0.0949209,-0.0906657,-0.0151555,-0.0101869,0.0508797,92
36.313459,-0.0213163,-0.101329,-0.0852959,-0.0209612,-0.00623987,0.0621542,93
36.380388,-0.014623,-0.121146,-0.0821557,-0.0454123,-0.00660608,0.0886101,94
36.447317,-0.00710731,-0.140585,-0.0824739,-0.0554405,-0.00993632,0.107356,95
36.480781,-0.000636009,-0.153952,-0.0710485,-0.0699321,0.000256171,0.113296,96
36.547710,0.00549699,-0.17362,-0.0743436,-0.0777071,-0.00385894,0.116957,97
36.681568,0.0122042,-0.194839,-0.0741487,-0.0752049,-0.00309433,0.116072,98
36.748497,0.0163161,-0.20958,-0.0783929,-0.0649733,-0.00528625,0.123501,99
36.915820,0.0235683,-0.224065,-0.086314,-0.0341687,-0.00948767,0.143042,100
37.049678,0.0298611,-0.242237,-0.0863494,-0.0273647,-0.00774429,0.13602,101
37.283929,0.0307451,-0.258369,-0.0850236,-0.0253566,-0.00593572,0.129177,102
37.518181,0.036036,-0.265374,-0.0878333,-0.0218672,-0.00839514,0.12797,103
38.256083,0.0301571,-0.251969,-0.0820588,-0.0337905,-0.00410951,0.103391,104
38.558120,0.0236527,-0.202852,-0.0778155,-0.0521731,-0.00236979,0.0433451,105
38.725919,0.02068,-0.17509,-0.0819554,-0.0386155,-0.00529522,-0.00062151,106
38.793039,0.0194964,-0.164393,-0.0790931,-0.0370918,-0.00194894,-0.020523,107
38.960837,0.0143324,-0.131256,-0.0783389,-0.0257075,-2.11329e-06,-0.0514959,108
39.095076,0.00962587,-0.105052,-0.0838179,-0.0124703,-0.00433066,-0.0666103,109
39.195756,0.0102088,-0.0808272,-0.083917,-0.00871126,-0.00481059,-0.0830944,110
39.329995,0.00846943,-0.0643453,-0.0843614,-0.00781478,-0.00544496,-0.0830618,111
39.430642,0.0123809,-0.0485405,-0.0832747,-0.00283594,-0.00478932,-0.0818674,112
39.698390,0.0110964,-0.00336556,-0.0787092,-0.00452967,-0.00193029,-0.126799,113
39.798688,0.00467947,0.0143629,-0.0893258,0.00392777,-0.0103683,-0.157798,114
39.932419,-0.000291594,0.0236313,-0.0883051,0.00435968,-0.00828854,-0.1765,115
40.032717,-0.0160006,0.0369268,-0.0843674,0.00524928,-0.0036258,-0.204389,116
40.166448,-0.0223591,0.0354412,-0.0960314,0.0105443,-0.0141243,-0.224896,117
40.300179,-0.0308745,0.0384453,-0.0928738,0.0113205,-0.00935045,-0.259523,118
40.333612,-0.0385077,0.0370843,-0.0846697,0.0105638,0.000169309,-0.279446,119
40.400478,-0.0347136,0.0317295,-0.0866493,0.00981477,-0.00158222,-0.294169,120
40.467343,-0.037212,0.0279223,-0.095773,0.00868194,-0.009857,-0.299726,121
40.601328,-0.0404578,0.00936717,-0.0858887,0.0121239,0.00177656,-0.322871,122
40.634920,-0.0517525,-0.0150616,-0.0697528,0.00287613,0.0167763,-0.324643,123
40.702103,-0.0423415,0.0166195,-0.0835727,-0.00859295,0.000231091,-0.36532,124
40.769286,-0.046751,-0.0156032,-0.0819857,-0.00764748,0.00262747,-0.348673,125
40.937243,-0.0304298,-0.0453722,-0.0794317,-0.0184522,0.000436808,-0.323287,126
41.138792,-0.0232808,-0.0811731,-0.0841005,-0.0157129,-0.00551863,-0.268284,127
41.172384,-0.00998197,-0.078429,-0.0897354,-0.0185506,-0.012137,-0.25807,128
41.239567,-0.00755012,-0.0861656,-0.0905032,-0.0191534,-0.0142105,-0.237275,129
41.306750,-0.0063636,-0.0952431,-0.0872799,-0.0176414,-0.0113545,-0.222771,130
41.373933,-0.00212671,-0.0970179,-0.0895924,-0.0198972,-0.0151643,-0.211774,131
41.474707,0.00225986,-0.0948686,-0.088687,-0.0210172,-0.0151871,-0.190442,132
41.609073,0.00035605,-0.109267,-0.0766797,-0.0168129,-0.00405747,-0.160876,133
41.843896,0.00787246,-0.121873,-0.0790966,-0.0143845,-0.0021162,-0.136208,134
42.078148,0.0180822,-0.125026,-0.0772552,-0.0139017,0.00140033,-0.138334,135
42.345864,0.0236419,-0.130999,-0.0664294,-0.0412092,0.0156762,-0.120539,136
42.446257,0.0293436,-0.139497,-0.0718738,-0.0281172,0.0471424,-0.114393,137
42.513186,0.0269269,-0.129058,-0.0637924,-0.035131,0.0644082,-0.129318,138
42.580115,0.0251807,-0.120617,-0.0605021,-0.0291089,0.0854352,-0.141498,139
42.680509,0.0264534,-0.121331,-0.0644653,-0.0266707,0.103313,-0.140451,140
42.881296,0.0251981,-0.124725,-0.0576375,-0.0380839,0.133436,-0.136704,141
43.048618,0.0267279,-0.124454,-0.0544991,-0.0356807,0.160962,-0.138961,142
43.182476,0.0288156,-0.122824,-0.0571786,-0.0270413,0.180139,-0.139667,143
43.249405,0.0271918,-0.125232,-0.0492028,-0.0285764,0.199243,-0.138529,144
43.416855,0.0310671,-0.124613,-0.0459817,-0.0250078,0.233742,-0.14277,145
43.517502,0.0310984,-0.127234,-0.0436426,-0.0214101,0.255226,-0.14069,146
