Keypoint Frame `1
Keypoint Frame `1
Keypoint Frame `1
Keypoint Frame `1
Keypoint Frame `2
Keypoint Frame `3
Keypoint Frame `3
Keypoint Frame `3
Keypoint Frame `4
Keypoint Frame `4
Keypoint Frame `4
Keypoint Frame `5
Keypoint Frame `5
Keypoint Frame `5
Keypoint Frame `5
Keypoint Frame `5
Keypoint Frame `6
Keypoint Frame `6
Keypoint Frame `6
Keypoint Frame `7
Keypoint Frame `7
Keypoint Frame `7
Keypoint Frame `7
Keypoint Frame `8
Keypoint Frame `9
Keypoint Frame `10
Keypoint Frame `10
Keypoint Frame `11
Keypoint Frame `11
Keypoint Frame `11
Keypoint Frame `12
Keypoint Frame `13
0.531177,0.0922404,1.813
0.0343175,0.105167,0.631
-0.731095,-0.408274,1.804
-0.732398,-0.412574,1.823
0.331947,0.0195263,0.742
-0.726002,-0.412574,1.823
0.329344,0.0143193,0.742
-1.36244,-0.742616,3.333
-0.280074,-0.246032,0.882
-0.212684,-0.228439,0.898
-0.165321,0.1555,0.933
0.0564877,0.342249,1.894
-0.18864,0.182079,0.935
-0.220405,-0.229784,0.891
0.0564877,0.35554,1.894
-0.280074,-0.246032,0.882
0.056786,0.364098,1.904
-0.35797,0.503939,1.981
-0.242405,-0.221061,0.869
-1.42519,-0.638058,3.399
-0.236851,-0.218514,0.871
-1.43712,-0.626132,3.399
-0.330167,0.51784,1.981
0.057114,0.487149,1.915
-0.323216,0.531742,1.981
-0.2415,-0.21043,0.805
-1.44905,-0.614205,3.399
-0.702935,-0.45484,1.813
0.194158,0.0701579,0.93
0.215789,0.0120842,0.984
-0.290342,0.549942,1.947
-0.0254579,-0.0448544,0.691
-1.19908,-0.759574,2.723
-0.210184,-0.0643421,0.815
0.0899491,0.0694544,0.649
-1.48178,-0.596254,3.365
-0.194444,-0.066707,0.809
-1.21818,-0.769128,2.723
-0.192079,-0.0640263,0.811
-0.638574,-0.470984,1.647
-0.070593,-0.195028,0.682
0.0919421,0.0669702,0.647
-1.50539,-0.584447,3.365
0.212337,0.00863158,0.984
0.0847474,-0.0194,0.582
-0.437586,0.484351,1.904
-0.216963,-0.0675316,0.819
-0.441933,0.481807,1.894
0.0933719,-0.00734386,0.598
0.0776754,-0.154342,0.575
0.2613,0.0195,0.741
-0.632795,-0.470984,1.647
-0.239356,-0.248504,0.869
0.0812175,0.00308421,0.586
-0.662833,-0.352433,1.843
-0.656367,-0.3007,1.843
-0.466991,0.493868,1.915
0.0819947,-0.158928,0.577
-0.656367,-0.294233,1.843
0.0776754,-0.154342,0.575
-0.48043,0.500588,1.915
0.0694842,-0.148032,0.574
0.179968,-0.0530842,0.738
-0.643433,-0.1843,1.843
-0.6499,-0.177833,1.843
0.182063,-0.0529404,0.736
-0.238675,-0.0748509,0.805
-0.664005,-0.360083,1.883
0.0596211,-0.138442,0.576
-0.752486,0.108437,1.873
-0.473711,0.493868,1.915
-0.663489,-0.114395,1.863
-0.238675,-0.0776754,0.805
-0.229344,-0.0689439,0.802
0.0675088,0.0467368,0.592
-0.196939,-0.125325,0.785
-0.714567,-0.2813,1.843
-0.256805,-0.126226,0.827
-0.667051,-0.0098579,1.873
-0.245539,-0.0837386,0.809
0.175086,0.43276,1.883
0.231911,0.00834211,0.951
-0.6693,-0.3007,1.843
-0.653907,-0.0558614,1.873
0.0815789,0.0250175,0.62
-0.673623,0.00328597,1.873
-0.259079,-0.120132,0.825
-0.6693,-0.345967,1.843
-0.653907,0.0427175,1.873
-0.637342,-0.114395,1.863
-0.196437,-0.127753,0.783
0.102584,0.0818368,0.657
-0.254644,-0.128058,0.839
0.489332,0.0671632,1.823
0.037714,-0.164107,0.581
-0.682233,-0.3201,1.843
0.236007,-0.0652281,0.676
0.101804,0.0743509,0.652
-0.0129684,-0.0766316,0.672
0.213672,0.0353316,0.959
0.370465,-0.205202,0.785
-0.0358175,0.0382877,0.704
-0.0129491,-0.0812263,0.671
-0.0358175,0.0382877,0.704
