time,x,y,z,roll,pitch,yaw,framenum,valid
1.167923,0,0,0,0,-0,0,0,0
1.234662,0,0,0,0,-0,0,-1,0
1.301400,0,0,0,0,-0,0,-1,0
1.368171,0,0,0,0,-0,0,-1,0
1.468501,0,0,0,0,-0,0,-1,0
1.536763,0,0,0,0,-0,0,-1,0
1.673288,0,0,0,0,-0,0,-1,0
1.741551,0,0,0,0,-0,0,-1,0
1.843944,0,0,0,0,-0,0,-1,0
1.912207,0,0,0,0,-0,0,-1,0
2.048732,0,0,0,0,-0,0,-1,0
2.082863,0,0,0,0,-0,0,-1,0
2.151126,0,0,0,0,-0,0,-1,0
2.287651,0,0,0,0,-0,0,-1,0
2.355913,0,0,0,0,-0,0,-1,0
2.458307,0,0,0,0,-0,0,-1,0
2.526569,0.000896847,-0.00240431,0.000653476,-8.98406e-05,-3.69088e-05,0.00168925,-1,0
2.594832,0.00105371,-0.00157523,0.000473127,-0.000722737,-0.000216381,0.000904899,-1,0
2.697226,0.000506293,-0.00112106,0.000158891,-0.00118059,-0.000287806,0.000470637,-1,0
2.765488,0.00182361,-0.00123928,6.64443e-05,-0.00101097,-0.000653001,0.000424209,-1,0
2.833751,0.00114384,-0.00273312,0.00178918,0.000390526,0.00116926,0.00208358,-1,0
2.970276,0,0,0,0,-0,0,-1,0
3.004407,0.000142741,-0.00132499,0.00102776,0.000382391,0.000403553,0.00116893,-1,0
3.140932,0.000486006,-0.00264785,0.00206555,0.00131202,0.00112236,0.00252201,-1,0
3.207924,0.00181362,-0.00107719,0.000327975,-0.00100309,-0.000628574,0.000255546,-1,0
3.274917,0.000753906,-0.00115,0.00062117,-0.00146885,7.52877e-05,0.000425461,-1,0
3.375406,0,0,0,0,-0,0,-1,0
3.442398,0.000183738,-0.00311714,0.00193189,0.000729198,0.00137704,0.00280306,-1,0
3.509391,0,0,0,0,-0,0,-1,0
3.643376,0,0,0,0,-0,0,-1,0
3.710368,0.00131254,-0.00147998,-4.62532e-05,-0.0010684,-0.000798088,0.00105329,-1,0
3.810857,0.000943848,-0.00196183,-0.000132456,-0.000864626,-0.00073331,0.00156652,-1,0
3.877881,0.00148808,-0.00129274,0.00088051,-0.00111006,0.000278658,0.0006555,-1,0
3.945001,0,0,0,0,-0,0,-1,0
4.012215,0.0016796,-0.00112032,0.000512391,0.000311631,-0.00049688,0.000767388,-1,0
4.113085,0,0,0,0,-0,0,-1,0
4.180332,0,0,0,0,-0,0,-1,0
4.314825,0.00127932,-0.00242839,0.0006769,-0.000456237,-0.000525677,0.00172921,-1,0
4.382071,0.00144211,-0.000851669,0.000855818,-0.000925219,-0.00017154,0.000584846,-1,0
4.449318,0,0,0,0,-0,0,-1,0
4.550187,0,0,0,0,-0,0,-1,0
4.617434,0.000954372,-0.00223631,0.00106172,-3.0338e-05,0.00014669,0.00163621,-1,0
4.751673,0,0,0,0,-0,0,-1,0
4.818665,0,0,0,0,-0,0,-1,0
4.919027,0.000553041,-0.000881355,0.000228837,-0.000779974,-0.000557284,0.000490313,-1,0
4.985893,0,0,0,0,-0,0,-1,0
5.052758,0.000386066,-0.00249542,0.00190257,-0.00036532,0.00112458,0.00187707,-1,0
5.186489,-0.000575126,-0.00853296,0.00715947,-0.000527596,0.00767308,0.00903195,-1,0
5.219922,0.00107688,-0.00655503,0.00280836,-0.0013544,0.00243533,0.00686585,-1,0
5.286787,0.00127238,-0.00710009,0.00333264,0.0017617,0.00267553,0.00793764,-1,0
5.420518,-0.00198595,-0.00751287,0.00257203,0.00116429,0.00212791,0.0102175,-1,0
5.487384,-9.38826e-05,-0.00722256,0.00532073,-0.000290747,0.00519234,0.00837859,-1,0
5.554249,-8.36219e-05,-0.00609407,0.00290163,0.00087134,0.00221636,0.0073454,-1,0
5.654548,0.000805098,-0.00584872,0.00347253,0.00168038,0.00266546,0.00762953,-1,0
5.721413,0.0014373,-0.0047682,0.0028328,-0.00106021,0.0022809,0.00674442,-1,0
5.788279,-0.000602656,-0.00899258,0.00370131,-0.000950377,0.0035968,0.0121423,-1,0
5.855144,-0.0010545,-0.00879503,0.00403702,-0.000110266,0.00349941,0.0118509,-1,0
5.989129,-0.00192151,-0.00881926,0.000784665,-0.00196211,0.00025933,0.0122222,-1,0
6.022721,-0.00203128,-0.00933653,-2.77311e-05,0.000326263,-0.000883339,0.013361,-1,0
6.089904,-0.00264972,-0.00886789,0.000944033,0.000372074,0.000157456,0.011991,-1,0
6.224270,-0.000492383,-0.008497,0.00306435,-2.48918e-05,0.0019065,0.0116547,-1,0
6.291453,-0.00201239,-0.00789274,0.00199328,0.00120275,0.00136353,0.0115258,-1,0
6.325044,7.27523e-05,-0.00602162,0.00445665,0.00220042,0.00388363,0.00920594,-1,0
6.459410,-0.00179598,-0.00792435,0.00326478,-0.000293,0.00285158,0.0109295,-1,0
6.526593,-1.08921e-05,-0.00486182,0.00195462,0.000931704,0.000695309,0.00804011,-1,0
6.593776,-0.00300452,-0.00894932,0.00486627,-0.0014589,0.00458543,0.0124,-1,0
6.694551,-0.000689454,-0.0113135,0.00459552,-0.00133021,0.00374304,0.0136183,-1,0
6.761734,-0.00109998,-0.0098728,0.00463305,-0.00120358,0.00343848,0.0126181,-1,0
6.896100,-0.00287868,-0.00985374,0.00145166,-0.00160878,0.000529668,0.0135746,-1,0
6.963283,-0.00234851,-0.00650991,0.00425956,-0.000679709,0.00386759,0.0100857,-1,0
7.030466,0.000495931,-0.00718415,0.00264198,-0.000484569,0.00150207,0.0104368,-1,0
7.131208,-0.000517507,-0.00798098,0.000848696,-0.000854749,-0.000452458,0.0114386,-1,0
7.198296,-0.00189766,-0.0100995,0.00224757,-0.00108702,0.000989572,0.0136521,-1,0
7.265320,0.000240471,-0.00640213,0.00324452,-0.00124837,0.00232375,0.00955487,-1,0
7.399210,-0.00249307,-0.00968883,0.00362962,-0.00162782,0.00332313,0.0128274,-1,0
7.466139,-0.000530993,-0.00840783,0.000322446,-0.000972591,-0.00112568,0.0112495,-1,0
7.566533,-0.000284728,-0.00911831,0.000312038,0.00153402,-0.000545419,0.00997673,-1,0
7.633462,-0.000474608,-0.00985159,-8.59648e-05,0.00165911,-0.000805091,0.0110846,-1,0
7.767320,-0.00125868,-0.0126028,0.00241582,0.00126479,0.00243892,0.014355,-1,0
7.834249,-0.00253167,-0.0141622,0.00285058,0.00247253,0.00274035,0.0159017,-1,0
7.867713,-0.000921048,-0.0098612,0.00196924,0.00272157,0.00167935,0.0114631,-1,0
8.001571,-0.00139246,-0.0132017,0.00296976,0.000740131,0.00318151,0.0149212,-1,0
8.068500,-0.00203173,-0.0144598,0.00330707,0.00109996,0.00302731,0.0158931,-1,0
8.135429,-0.00272725,-0.010738,0.00311227,0.00292149,0.00343374,0.0122314,-1,0
8.235823,-0.00276849,-0.0146323,0.00188084,0.00218885,0.00136177,0.0166719,-1,0
8.302752,-0.00286714,-0.0114805,0.00331694,0.00304302,0.00325566,0.0130313,-1,0
8.436610,-0.00201884,-0.0114385,0.002204,0.00124166,0.00178938,0.0132501,-1,0
8.503539,0.000558356,-0.00862018,-0.00148828,-0.00105351,-0.00242474,0.00895567,-1,0
8.570468,-0.00283411,-0.0148788,0.00177731,0.00206656,0.00145229,0.0166174,-1,0
