x,y,z,valid
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.51065e-06,2.08803e-07,1.85001e-22,0
-5.82346e-06,6.17531e-06,-7.13168e-22,0
-4.91853e-06,4.31489e-06,-6.02346e-22,3
-9.41595e-05,0.00010438,-1.15312e-20,3
-0.000233418,0.000251307,-2.85855e-20,3
-0.000400431,0.000472202,-4.90386e-20,3
-0.000605517,0.000718538,-7.41544e-20,3
-0.000896079,0.000952158,-1.09738e-19,3
-0.0012427,0.00123844,-1.52186e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
-0.00157909,0.00152043,-1.93382e-19,3
