time,x,y,z,roll,pitch,yaw,framenum,valid
2.561399,0.0171821,7.72832e-05,-0.00934597,-0.0030322,-0.00367938,-0.00138285,0,0
5.583809,0.0120199,-0.0149333,-0.0135247,-0.00338592,-0.00123082,0.00256594,1,0
5.751671,0.0154354,-0.0322794,-0.0171283,-0.00701636,-0.00428551,-0.0028357,2,0
5.885529,0.014631,-0.0196424,-8.82629e-05,-0.010864,0.0058601,-0.0271664,3,0
6.052851,0.00927281,-0.0237282,0.000708501,-0.0255809,0.0215517,-0.0455243,4,0
6.253638,0.0214151,-0.0301122,0.00703476,-0.0238504,0.016057,-0.0395193,5,0
6.320567,0.0177731,-0.0291779,0.0163889,-0.0233335,0.0152821,-0.0395596,6,0
6.420961,0.0227962,-0.0343406,0.0407743,-0.0241923,0.0119781,-0.0399556,7,0
6.554819,0.0282854,-0.0414228,0.0530504,-0.0206758,0.0105702,-0.0422756,8,0
6.655212,0.0364709,-0.0387143,0.0701742,-0.0145025,0.0208215,-0.044799,9,0
6.789070,0.0346911,-0.0354772,0.0843939,-0.0164965,0.0283965,-0.0396106,10,0
6.922928,0.0389488,-0.0392845,0.105461,-0.0279443,0.0338088,-0.027953,11,0
7.090251,0.039263,-0.035538,0.102411,-0.0225587,0.0291023,-0.0182015,12,0
7.224109,0.0428443,-0.0449725,0.143706,-0.0214258,0.02827,-0.0119628,13,0
7.324502,0.0423523,-0.0350704,0.160529,-0.0224835,0.0288328,-0.0120755,14,0
7.458392,0.037534,-0.0335204,0.184832,-0.0200123,0.0391339,-0.00455405,15,0
7.559008,0.040684,-0.028755,0.201861,-0.00868392,0.0375073,-0.00288436,16,0
7.760557,0.0304449,-0.0427626,0.225,-0.0136479,0.032967,0.0151078,17,0
7.928514,0.0266536,-0.0471614,0.25921,-0.0239672,0.0222949,0.0235777,18,0
8.062880,0.0203516,-0.0468117,0.289268,-0.0215331,0.016767,0.023887,19,0
8.163655,0.0201107,-0.053295,0.298461,-0.0137501,0.018678,0.0358242,20,0
8.298021,0.00986333,-0.0521388,0.307247,-0.0229818,0.0253121,0.046619,21,0
8.600313,-0.0115539,-0.0551929,0.35322,-0.024535,0.0220187,0.0466909,22,0
8.767730,-0.0134127,-0.0582413,0.369362,-0.0127503,0.00757107,0.0443028,23,0
8.901366,-0.0139178,-0.0676239,0.386757,-0.000470393,0.00689174,0.0400884,24,0
9.001569,-0.0200732,-0.061227,0.390549,-0.0150078,-0.00473873,0.03056,25,0
9.302178,-0.0245072,-0.0683607,0.399046,-0.0205302,-0.0157923,0.0109123,26,0
9.502648,-0.027526,-0.0752738,0.406241,-0.023357,-0.0146816,0.00336949,27,0
9.737534,-0.0262928,-0.0790133,0.388161,-0.0313758,-0.0155765,0.00760325,28,0
9.905492,-0.0256827,-0.090154,0.393961,-0.0298533,-0.00829722,0.0247485,29,0
10.039858,-0.0295556,-0.0846582,0.400414,-0.0398621,-0.0110729,0.0259607,30,0
10.207815,-0.0293492,-0.0876442,0.39113,-0.0436646,-0.00630566,0.0259062,31,0
10.644505,-0.0326854,-0.0860209,0.381522,-0.0574593,0.00465416,0.028893,32,0
10.812399,-0.0321759,-0.0836239,0.387108,-0.0547243,-0.00524705,0.0404775,33,0
11.113547,-0.0400767,-0.0817287,0.386909,-0.0770875,-0.00851896,0.0620993,34,0
11.247278,-0.0357301,-0.0789416,0.386351,-0.0668707,-0.0113892,0.0527711,35,0
11.381009,-0.0353991,-0.0876839,0.375804,-0.0600262,-0.00375712,0.049166,36,0
11.548173,-0.0399797,-0.0861307,0.366732,-0.0951828,-0.0046571,0.0576129,37,0
11.782202,-0.0399883,-0.0828156,0.371888,-0.0728207,0.00243577,0.0524782,38,0
11.949430,-0.0359728,-0.0858546,0.380558,-0.0669377,-0.0101295,0.0473186,39,0
12.083605,-0.0309455,-0.0874627,0.384471,-0.0585437,-0.00927597,0.0468673,40,0
12.251658,-0.030117,-0.0730409,0.391934,-0.0613598,-0.0108659,0.0561667,41,0
12.386151,-0.0245644,-0.0692704,0.389091,-0.0600568,-0.00996518,0.0619262,42,0
12.688760,-0.0307235,-0.0800588,0.395893,-0.0600142,-0.00268679,0.0546496,43,0
12.856876,-0.0241885,-0.0793559,0.399625,-0.0410926,-0.0074976,0.0317441,44,0
13.091477,-0.0118359,-0.0793953,0.403006,-0.0272307,-0.026175,0.048512,45,0
13.425805,0.027922,-0.0705826,0.444438,-0.00174726,-0.0706744,0.0722559,46,0
13.592968,0.061248,-0.0582172,0.470197,0.00773443,-0.0757501,0.071762,47,0
13.726699,0.0942493,-0.062228,0.494045,0.00330608,-0.0781691,0.0680037,48,0
13.893863,0.132278,-0.0612338,0.519678,0.033735,-0.0462202,0.0661667,49,0
14.061027,0.182052,-0.0701145,0.557419,-0.0178776,-0.0529671,0.0770845,50,0
14.262131,0.24365,-0.0649839,0.582294,-0.0191766,-0.045976,0.0678741,51,0
14.362906,0.281924,-0.0576493,0.593438,-0.0143235,-0.0569814,0.0687013,52,0
14.631638,0.371409,-0.0375264,0.611576,-0.0183828,-0.0704711,0.0578924,53,0
14.732412,0.407242,-0.0276763,0.613463,-0.0180404,-0.062617,0.0459214,54,0
14.866778,0.450213,-0.0213328,0.621065,-0.0298868,-0.0683053,0.0572184,55,0
14.967553,0.493551,-0.0466955,0.607636,-0.0398714,-0.0856923,0.0893741,56,0
15.202693,0.573315,-0.0235199,0.639679,-0.0188509,-0.0773131,0.101009,57,0
15.337028,0.616928,-0.0298615,0.637541,-0.0140464,-0.0796646,0.116881,58,0
15.471044,0.664058,-0.0538994,0.627172,-0.0367824,-0.0897353,0.143113,59,0
15.671831,0.719456,-0.0445906,0.642627,-0.025515,-0.0678792,0.138718,60,0
15.839154,0.77607,-0.0512326,0.625684,-0.0568783,-0.0699998,0.146842,61,0
15.973012,0.803283,-0.0249657,0.634772,-0.0528539,-0.0644311,0.126615,62,0
16.207263,0.87412,-0.0315227,0.646302,-0.0555573,-0.065976,0.123145,63,0
16.508444,0.980338,-0.0472684,0.656827,-0.058209,-0.0906273,0.134268,64,0
16.675766,1.04614,-0.0674082,0.663273,-0.0682327,-0.0900212,0.139182,65,0
16.809624,1.08175,-0.0661022,0.669933,-0.0740421,-0.0961016,0.134688,66,0
17.010475,1.14129,-0.0575481,0.670246,-0.0617566,-0.0663007,0.121127,67,0
17.178369,1.1901,-0.0545616,0.673764,-0.0862576,-0.0579448,0.108097,68,0
17.480692,1.28772,-0.0431399,0.682595,-0.0688535,-0.0692821,0.0675556,69,0
17.850199,1.42146,-0.0410095,0.710658,-0.0711114,-0.0931762,0.0502589,70,0
17.950973,1.46522,-0.0421899,0.718046,-0.0558165,-0.0984416,0.0567775,71,0
18.152459,1.52737,-0.0465002,0.726771,-0.0609413,-0.091423,0.0576086,72,0
18.386806,1.59585,-0.0406538,0.737447,-0.0720548,-0.0839649,0.0698323,73,0
18.787999,1.69756,-0.00671761,0.766075,-0.0653203,-0.0750565,0.00658885,74,0
19.088893,1.78677,-0.0263053,0.765485,-0.0611506,-0.10079,0.00935927,75,0
19.490563,1.91975,-0.0380222,0.762597,-0.0364156,-0.0749367,0.0633044,76,0
19.725671,1.99172,-0.0273185,0.758915,-0.0338051,-0.0813845,0.0557101,77,0
19.960812,2.05685,-0.0213882,0.75417,-0.0529271,-0.0825089,0.0620521,78,0
20.296727,2.13632,-0.00685096,0.7456,-0.0488565,-0.0885857,0.0219464,79,0
20.565459,2.20696,-0.00818711,0.741122,-0.0165511,-0.111057,-0.031797,80,0
20.866893,2.29082,-0.0190949,0.702589,-0.0479202,-0.1362,0.0367175,81,0
21.167788,2.36429,-0.00945872,0.576703,-0.0204948,-0.167104,0.0619913,82,0
21.401817,2.39828,-0.000869763,0.469195,-0.0160394,-0.185676,0.0367234,83,0
21.903817,2.40813,0.0162907,0.312621,-0.0449,-0.160295,0.0821505,84,0
