x,y,z,roll,pitch,yaw,valid
0,0,0,0.0390805,0.0645303,0.0241644,0
0,0,0,0.0238588,0.0601626,0.00412603,0
0,0,0,0.0174694,0.0599495,-0.0120813,0
0,0,0,0.0126489,0.0656809,-0.0247208,0
0,0,0,-0.00297813,0.0824996,-0.0349442,0
0,0,0,0.00116212,0.0784377,-0.03023,0
0,0,0,0.000738948,0.0766371,-0.0298937,0
0,0,0,-0.00088212,0.0707952,-0.0331322,0
0,0,0,0.00424913,0.0731657,-0.0369823,0
0,0,0,0.00925055,0.0844329,-0.0373989,0
0,0,0,0.00370957,0.0956075,-0.0278432,0
0,0,0,-0.000203262,0.101564,-0.0183936,0
0,0,0,0.00290651,0.106616,-0.0113284,0
0,0,0,0.00313321,0.102112,-0.00991373,0
0,0,0,0.00409836,0.10869,-0.00307374,0
0,0,0,0.00986359,0.115294,0.00156112,0
0,0,0,0.0226632,0.116832,0.0056525,0
-4.69869e-17,9.45836e-33,0.383677,0.00641498,0.113426,0.0192334,0
-5.30912e-17,1.06872e-32,0.433522,0.00373395,0.102257,0.0197546,0
-5.6133e-17,1.12995e-32,0.45836,0.00921977,0.0988097,0.0229977,0
-5.9784e-17,1.20344e-32,0.488173,0.0163137,0.110833,0.0349692,0
-6.0332e-17,1.21447e-32,0.492648,0.000531485,0.116864,0.0493967,0
-6.81092e-17,1.37103e-32,0.556154,0.00796956,0.105055,0.0432323,0
-7.06725e-17,1.42262e-32,0.577085,0.0150513,0.0956433,0.0380381,0
-7.01964e-17,1.41304e-32,0.573197,0.0211793,0.088669,0.0287563,0
-7.00617e-17,1.41033e-32,0.572097,0.00506885,0.0783053,0.0272271,0
-7.34005e-17,1.47754e-32,0.599361,-0.000887929,0.0664328,0.00805946,0
-0.00861907,-0.00681519,0.595911,-0.0201039,0.0596587,0.00492855,0
-0.00381279,-0.0101011,0.606553,-0.0129975,0.0694365,0.00755461,0
-0.0138049,-0.00870277,0.596795,-0.0127433,0.0692928,0.0218764,0
-0.0108477,-0.0116119,0.594377,-0.0201501,0.0734939,0.02195,0
-0.00732161,-0.0171749,0.594695,-0.0223785,0.0738661,0.0219512,0
-0.00521545,-0.0232511,0.593461,-0.0342824,0.0833011,0.0256578,0
-0.00367463,-0.0235143,0.593313,-0.0362872,0.0722621,0.0451033,0
-0.0166017,-0.016399,0.593765,-0.0526472,0.0662053,0.056925,0
-0.00761513,-0.0263277,0.58298,-0.0387943,0.071206,0.0436141,0
-0.00811458,-0.0261135,0.590533,-0.041009,0.0780557,0.0437268,0
0.0354091,-0.0658049,0.586507,-0.0769322,0.0780313,0.0563137,0
-0.00290276,-0.0298926,0.581184,-0.0482975,0.0816523,0.0488696,0
0.0095704,-0.0377634,0.579478,-0.0453458,0.066116,0.0426285,0
-2.44288e-05,-0.0296424,0.594545,-0.0382799,0.0649095,0.0453175,0
-0.0182734,-0.0172675,0.58642,-0.0411261,0.0650913,0.0581593,0
-0.00990169,-0.0260607,0.581087,-0.0397136,0.0652666,0.0632358,0
