x,y,z,roll,pitch,yaw,valid
-0.0165168,-0.0223652,0.594715,-0.0387053,0.0720796,0.0461627,0
0.00259551,-0.0402395,0.60154,-0.0216192,0.0655283,0.0284812,0
-0.0101809,-0.0266777,0.607637,-0.0193134,0.034399,0.0548028,0
0.0248141,-0.0452699,0.633897,0.0263817,0.00552957,0.0668801,0
0.0123637,-0.0393118,0.658409,0.0202018,-0.00956033,0.0638783,0
0.0399213,-0.0471265,0.691827,0.0314163,0.00491521,0.0578628,0
0.0715465,-0.0448881,0.718082,0.0426923,0.0373972,0.0652619,0
0.076919,-0.030768,0.751273,-0.0134147,0.0154046,0.068307,0
0.122518,-0.0322299,0.7671,-0.00609326,0.027371,0.0585142,0
0.168725,-0.0311552,0.776428,-0.0064019,0.00417263,0.0586525,0
0.188783,-0.0231699,0.784984,-0.00822513,0.00298984,0.0496534,0
0.215331,-0.00459495,0.793875,-0.0127857,0.00812699,0.0492605,0
0.218551,-0.00539563,0.798517,-0.0284134,-0.00196352,0.0644424,0
0.244049,-0.0130439,0.802565,-0.027551,-0.00284523,0.0931609,0
0.274772,-0.0200592,0.805903,-0.00167062,-0.00546167,0.100213,0
0.311281,-0.0149768,0.803331,-0.0214673,-0.00382449,0.127427,0
0.332092,-0.0150522,0.803774,-0.0203655,-0.0120996,0.125066,0
0.373408,-0.0227895,0.80116,-0.016277,0.0113091,0.129327,0
0.412806,-0.00906461,0.776511,-0.0501043,0.0105377,0.134654,0
0.439469,-0.00975269,0.781741,-0.0402511,0.0136203,0.124449,0
0.505907,-0.00814404,0.789902,-0.0610776,-0.000523629,0.131139,0
0.598113,-0.0380784,0.790148,-0.053859,-0.0142196,0.138855,0
0.637415,-0.0359395,0.782832,-0.0637831,-0.016906,0.138022,0
0.691085,-0.0470981,0.777102,-0.0658591,-0.0135129,0.12811,0
0.723614,-0.0422954,0.766755,-0.064519,0.00701818,0.127014,0
0.783149,-0.0379228,0.770695,-0.0821945,0.0129803,0.111802,0
0.859802,-0.0408153,0.778801,-0.0750958,0.00106406,0.0792307,0
0.957956,-0.050532,0.779467,-0.0797417,-0.027879,0.076196,0
1.0018,-0.053907,0.778192,-0.0669675,-0.0278245,0.0764693,0
1.04546,-0.0545055,0.776727,-0.0713846,-0.021709,0.0763069,0
1.10945,-0.0405549,0.772112,-0.088114,-0.0202292,0.0846732,0
1.19031,-0.0249625,0.771533,-0.083092,-0.015856,0.0280351,0
1.26287,-0.0395561,0.772583,-0.0770272,-0.0348901,0.0382932,0
1.35941,-0.0400947,0.756221,-0.0486067,-0.015474,0.0644894,0
1.40278,-0.036058,0.740296,-0.0488029,-0.0211567,0.0576212,0
1.45845,-0.0207395,0.719158,-0.0767786,-0.0262241,0.0596186,0
1.50656,-0.0264144,0.715345,-0.0678535,-0.0345843,0.0219441,0
1.56024,-0.0373432,0.682307,-0.0480011,-0.0757112,-0.00101451,0
1.60961,-0.0371215,0.619405,-0.0473113,-0.098595,0.0781109,0
1.6314,-0.0354695,0.547386,-0.037092,-0.105772,0.0784766,0
1.62823,-0.0375702,0.454409,-0.0395567,-0.11133,0.0625817,0
1.57544,0.0155565,0.312095,-0.0509314,-0.0924573,0.105332,0
1.56319,0.0327066,0.30146,-0.060618,-0.0909939,0.116969,0
1.5484,0.0512031,0.257339,-0.0519953,-0.084168,0.10908,0
1.5329,0.0709999,0.142338,-0.0488739,-0.0652687,0.0945683,0
1.5329,0.0709999,0.00849527,-0.0555734,-0.0390263,0.106736,0
1.5329,0.0709999,1.87726e-16,-0.0688211,-0.0229105,0.0830593,0
1.5329,0.0709999,1.87726e-16,-0.0693941,-0.00753935,0.0794073,0
1.5329,0.0709999,1.87726e-16,-0.0825677,0.0121562,0.0705751,0
1.5329,0.0709999,1.87726e-16,-0.0603646,0.00355524,0.0554304,0
1.5329,0.0709999,1.87726e-16,-0.0190392,0.00524872,0.0339082,0
