time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
7.622603,-0.0687354,-0.0602589,0.491824,-0.0229227,0.0384153,-0.0604228,33,0,-0.147002,0.0140104,0.712683,-0.0422105,0.0715958,-0.0661554
7.790529,-0.0767189,-0.0682398,0.481648,-0.0250653,0.0484491,-0.0686739,34,0,-0.154726,0.00504995,0.702131,-0.0408604,0.0746643,-0.0763358
7.924546,-0.0803885,-0.0710872,0.468934,-0.0331641,0.0428987,-0.0760266,35,0,-0.154994,0.000465459,0.701123,-0.0558081,0.0710719,-0.0801684
8.091868,-0.0726055,-0.0826566,0.464639,-0.0482098,0.0451895,-0.0714965,36,0,-0.146675,-0.00641999,0.692031,-0.0591758,0.0731797,-0.073092
8.292655,-0.0633463,-0.0910262,0.448525,-0.0268883,0.0179678,-0.0552784,37,0,-0.13606,-0.011565,0.678178,-0.0330665,0.0371305,-0.046184
8.393049,-0.0152408,-0.106888,0.409424,-0.0343912,-0.028484,-0.0145538,38,0,-0.120842,-0.01057,0.663797,-0.0441017,0.00751434,-0.0166462
8.526907,-0.0212134,-0.0974854,0.429038,-0.0514703,-0.0371609,0.00461827,39,0,-0.0934399,-0.00846595,0.664778,-0.0670816,-0.0124523,0.00797053
8.627300,-0.00613419,-0.107959,0.428352,-0.0486865,-0.0450855,0.0252584,40,0,-0.0704992,-0.0110072,0.669501,-0.0533534,-0.0184855,0.0176283
8.694229,0.00475317,-0.103577,0.432465,-0.0285445,-0.051558,0.0241032,41,0,-0.0563833,-0.0152278,0.675645,-0.0339294,-0.0134513,0.0187753
8.828087,0.0277567,-0.097369,0.450129,-0.0198038,-0.0315737,0.0310515,42,0,-0.0341448,-0.0189141,0.686364,-0.0282283,0.00888561,0.0292267
8.995410,0.0565894,-0.0995294,0.472206,0.00792281,0.00535498,0.0369209,43,0,0.00159875,-0.0252325,0.705178,-0.00190359,0.0459323,0.0288043
9.196197,0.103437,-0.102922,0.474864,-0.00125505,-0.00670714,0.0289961,44,0,0.0422317,-0.0258646,0.720199,-0.0133696,0.0324502,0.0220336
9.296590,0.144395,-0.125133,0.494324,-0.0128023,-0.00523217,0.040209,45,0,0.105957,-0.0273044,0.728166,-0.0284577,0.0252918,0.0280057
9.430448,0.179162,-0.121421,0.506368,-0.0248537,-0.0121994,0.0361623,46,0,0.127066,-0.0250944,0.737785,-0.0347827,0.0155102,0.0223643
9.497441,0.208765,-0.10746,0.503379,-0.0233584,-0.0192403,0.0156749,47,0,0.169755,-0.0236093,0.73293,-0.0410301,0.0204739,-0.000432297
9.598183,0.252862,-0.109714,0.518316,-0.0297296,-0.000887759,0.00454934,48,0,0.199691,-0.022047,0.734237,-0.0385471,0.0272971,-0.00122635
9.665430,0.270415,-0.111905,0.505213,-0.0245012,-0.00333731,0.00268598,49,0,0.241118,-0.0236548,0.728885,-0.028831,0.0344717,-0.00720076
